Date,Number of Data Points,Mean HR Overall,Median HR Overall,Min HR Overall,Max HR Overall,Number of Bouts at HR >= 80%,Total Time Spent (min) at HR >= 80%,Mean HR for Time Spent (min) at HR >= 80%,Median HR for Time Spent (min) at HR >= 80%,Min HR for Time Spent (min) at HR >= 80%,Number of Bouts at HR >= 60%,Total Time Spent (min) at HR >= 60%,Mean HR for Time Spent (min) at HR >= 60%,Median HR for Time Spent (min) at HR >= 60%,Min HR for Time Spent (min) at HR >= 60%,Number of Bouts at HR >= 40%,Total Time Spent (min) at HR >= 40%,Mean HR for Time Spent (min) at HR >= 40%,Median HR for Time Spent (min) at HR >= 40%,Min HR for Time Spent (min) at HR >= 40%,Number of Bouts at HR < 40%,Total Time Spent (min) at HR < 40%,Mean HR for Time Spent (min) at HR < 40%,Median HR for Time Spent (min) at HR < 40%,Min HR for Time Spent (min) at HR < 40%
2015-09-28,725,85.9,84.0,62,119,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,4,674.4,95.5,96.0,82,4,127.5,70.9,70.0,62
2015-09-30,1450,81.1,81.0,68,137,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,3,41.8,90.4,90.0,82,3,77.3,72.1,71.0,68
2015-10-01,7115,84.0,81.0,60,161,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,1,10.8,144.7,148.0,124,9,179.3,98.2,97.0,82,20,507.6,71.8,72.0,60
2015-10-02,5653,82.3,79.0,59,144,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,3,103.0,96.4,96.0,82,12,255.1,72.7,72.0,59
2015-10-03,3147,91.9,91.0,52,170,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,10,260.6,96.9,95.0,82,4,86.0,63.3,63.5,52
2015-10-04,4675,83.0,81.0,62,174,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,5,70.9,93.8,93.0,82,10,137.0,73.2,73.0,62
2015-10-05,9245,90.5,88.0,59,170,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,30,619.7,94.8,92.0,82,12,249.6,74.0,74.0,62
2015-10-06,9342,96.9,98.0,59,167,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,20,649.9,101.8,102.0,82,11,222.7,73.9,75.0,64
2015-10-07,8648,87.9,82.0,64,147,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,14,282.3,103.3,104.0,82,17,478.9,72.2,71.0,64
2015-10-08,9174,89.8,89.0,55,179,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18,338.2,100.3,100.0,82,15,548.8,69.8,69.0,55
2015-10-09,9350,83.2,78.0,56,164,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,8,128.5,101.5,102.0,82,24,586.2,67.6,68.0,56
2015-10-10,9160,78.2,77.0,54,139,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,12,220.0,94.5,94.0,82,20,564.3,66.8,66.0,54
2015-10-11,8616,76.5,72.0,54,149,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,9,145.6,96.7,96.0,82,26,775.9,64.6,64.0,54
2015-10-12,8412,74.6,73.0,56,127,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,3,46.9,96.2,97.0,82,33,756.3,67.8,68.0,56
2015-10-13,9368,87.5,83.0,54,178,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,16,285.1,97.7,96.0,82,16,531.3,66.6,67.0,54
2015-10-14,6017,79.8,75.0,51,147,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,6,606.3,101.3,101.0,82,13,467.0,64.7,63.0,51
